560|"Dysoxylum thyrosoideum Griffith"
563|"Psychotria sp."
564|"Ardisia andamanica Kurz"
565|"Mucuna sp."
566|"Lasianthus cyanocarpus Jack"
567|"Tadehagi triquetrum (L.) Ohashi"
568|"Pentatropis capensis (L.f.) Bullock"
569|"Pteridophyte"
570|"Zingiber zerumbet (L.) J.E.Smith"
571|"Ficus benjamina L."
572|"Ficus curtipes Corner"
573|"Vigna radiata (L.) Wilczek"
574|"Vincetoxicum indicum (Burm. f. )Mabb."
575|"Heteropanax fragrans (Roxb.) Seem."
576|"Oxalis corniculata L."
577|"Tritaxis balakrishnanii (Chakrab. et Premanath) R.Y. Yu et  Welzen"
578|"Ficus sp."
579|"Ziziphus glabra Roxb."
580|"Ixora sp."
581|"Bridelia tomentosa Blume"
582|"Psydrax dicoccos Gaertner"
583|"Piper sp."
584|"Podocarpus sp."
585|"Uncaria cordata (Lour.) Merr."
586|"Aporosa villosa (Lindl.) Baill."
587|"Orobanchus sp."
589|"Zanthoxylum ovalifolium Wight"
590|"Micranthus sp."
591|"Litsea tomentosa Blume"
592|"Psychotria helferiana Kurz"
593|"Macaranga indica Wight"
594|"Dichapetalum gelonioides (Roxb.) Engl."
595|"Ficus alutacia Blume"
596|"Haplanthus laxiflorus (Blume) Gnanasek., G.V.S. Murthy et Y.F. Deng"
597|"Ixora timorense Decne"
598|"Leea simplicifolia Zoll"
599|"Vanilla sp."
601|"Desmodium heterocarpon (L.) DC."
602|"Lasianthus sp."
603|"Miliusa sp."
604|"Leea sp."
606|"Orophea hexandra Blume"
607|"Liverworts"
609|"Desmos dasymaschala (Blume) Saff."
610|"Cayratia japonica (Thunb.) Gagnepain"
611|"Hydnocarpus sp."
612|"Salacia sp."
614|"Walsura pinnata Hassk."
615|"Sageraea sp."
616|"Dipterocarpus incanus Roxb."
617|"Mallotus sp. ?"
619|"Bridelia sp."
620|"Ceriops candolleana Arn."
621|"Garcinia sp."
622|"Osbeckia zeylanica L.f."
623|"Justicia sp."
624|"Lindernia sp."
625|"Bamboo sp."
628|"Syzygium sp."
629|"Limonia sp."
631|"Pavetta sp."
632|"Fern"
633|"Goniothalamus sp."
634|"Dioscorea alata L."
635|"Chionanthus parkinsonii (Hutch.) Bennet et Raiz."
636|"Microtropis sp."
638|"Neolitsea sp."
640|"Mallotus subpeltatus (Blume) Muell.Arg."
641|"Eranthemum sp."
643|"Jatropha sp."
647|"Diospyros chloroxylon Roxb."
649|"Heliotropium scabrum Retz."
650|"Rostellularia diffusa(Willd.)Nees var. prostrata(Roxb. ex C.B.Clarke). JL.Ellis"
651|"Diospyros ferrea (Willd.) Bakh."
652|"Gloriosa superba L."
653|"Habenaria roxburghii (Pers.) R.Br."
654|"Jasminum auriculatum Vahl"
655|"Cordia sp."
